Comment,Designator,Footprint,LCSC
1k,"R17,R20,R6,R8",R_0402_1005Metric,C11702
22uf,"C10,C2,C5,C9",C_0402_1005Metric,C15525
8p,"C21,C22",C_0402_1005Metric,C161335
1UH,L1,IND-SMD_L4.4-W4.2,C167203
0,"R10,R12,R14,R15,R16,R9",R_0402_1005Metric,C17168
IP5306,U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C181692
LED,D1,LED_0603_1608Metric,C2286
20R,R21,R_0402_1005Metric,C25092
10k,R4,R_0402_1005Metric,C25744
5.1K,"R1,R3",R_0402_1005Metric,C25905
1M,"R18,R19",R_0402_1005Metric,C26083
TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186
SK6805-EC20,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED5,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED6,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED7,LED70,LED71,LED72,LED73,LED74,LED75,LED76,LED77,LED8,LED9",LED-SMD_4P-L2.0-W2.0-BR,C2890036
100n,"C1,C11,C12,C13,C14,C15,C16,C17,C18,C19,C23,C24,C25,C26,C27,C28,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C7,C8",C_0402_1005Metric,C307331
27.4,"R11,R13",R_0402_1005Metric,C31439
BOOT,"S2,S3,S4,S5,S6",SW_TS-1187A-B-A-B,C318884
TS24CA,SW1,SW-SMD_TS24CA,C393942
LM4040DBZ-2.0,U2,SOT-23,C460725
0.5R,R2,R_0402_1005Metric,C5204041
1u,C20,C_0402_1005Metric,C52923
MCP1703Ax-330xxTT,U3,SOT-23,C5446
WTL2M45316LZ,X1,CRYSTAL-SMD_4P-L2.5-W2.0-BL,C963522
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
RP2040,U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,
